Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,208500,209000,204000,208000,206377.25,451382
2019-03-21,217000,222000,214500,218000,216299.2344,1179042
2019-03-22,217500,219000,213500,214500,212826.5469,382914
2019-03-25,209500,212000,207500,209000,207369.4531,451571
2019-03-26,209000,211500,207500,209500,207865.5625,259557
2019-03-27,208500,211000,206500,210000,208361.6563,323454
2019-03-28,208500,215000,208000,211500,209849.9375,291896
2019-03-29,212000,215000,209500,214500,212826.5469,253624
2019-04-01,218000,219500,215500,216500,214810.9375,249698
2019-04-02,218500,218500,216500,217500,215803.125,208763
2019-04-03,217500,221000,217000,219500,217787.5313,255385
2019-04-04,219500,222000,218000,220000,218283.625,233443
2019-04-05,219500,219500,216500,218000,216299.2344,229109
2019-04-08,220000,220500,217500,218500,216795.3438,147734
2019-04-09,222500,223500,220000,220000,218283.625,364801
2019-04-10,219000,221500,218000,220500,218779.7188,249980
2019-04-11,222000,226500,221500,226500,224732.9219,465869
2019-04-12,226000,229500,225000,229000,227213.4375,312544
2019-04-15,229500,230000,225000,228000,226221.2031,238374
2019-04-16,228000,229000,226000,228000,226221.2031,159614
2019-04-17,228000,231000,227000,230500,228701.7188,206418
2019-04-18,232000,235000,226500,227500,225725.1094,288102
2019-04-19,230500,231000,228000,229500,227709.5313,151938
2019-04-22,230000,234500,229500,233000,231182.2031,176618
2019-04-23,231500,234000,230000,230000,228205.625,257817
2019-04-24,227000,229500,223000,228500,226717.3125,361216
2019-04-25,226000,232000,226000,230000,228205.625,214129
2019-04-26,229500,230000,226500,229000,227213.4375,250366
2019-04-29,228000,234000,228000,234000,232174.4063,179456
2019-04-30,234000,237000,231500,236500,234654.9063,241833
2019-05-02,235000,238500,234500,238000,236143.2031,290038
2019-05-03,236500,239000,236000,239000,237135.4063,196099
2019-05-07,235500,239500,235000,239000,237135.4063,262252
2019-05-08,236000,239000,235000,239000,237135.4063,195769
2019-05-09,236500,238000,222000,222000,220268.0313,725606
2019-05-10,222500,225000,215000,221500,219771.9375,389312
2019-05-13,218500,224000,216500,219000,217291.4375,191178
2019-05-14,215500,218000,212500,213500,211834.3438,417105
2019-05-15,214500,222500,213500,221000,219275.8281,284353
2019-05-16,221000,221500,215500,216000,214314.8438,212412
2019-05-17,217000,220500,214500,215000,213322.6406,161360
2019-05-20,215000,217000,208000,208000,206377.25,231142
2019-05-21,207000,213000,207000,210000,208361.6563,252512
2019-05-22,211000,214000,209500,213000,211338.2344,140341
2019-05-23,214000,215500,210500,215000,213322.6406,171103
